concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";38916
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";34518
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 8";"Comercial";36159
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";35537
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 8";"Comercial";39242
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 8";"Comercial";33167
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 8";"Comercial";40405
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 8";"Comercial";28497
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 8";"Comercial";25543
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 8";"Comercial";27525
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 8";"Comercial";24847
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 8";"Comercial";27122
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 8";"Comercial";23749
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";23311
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 01 BR-381/SP Norte: km 65,70 Sul: km 66,80";"N/I";"Categoria 9";"Moto";25635
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";9773
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";10865
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";5167
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 9";"Moto";5631
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";2600
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 04 BR-381/MG km 804,88";"N/I";"Categoria 9";"Moto";3134
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 9";"Moto";2379
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 9";"Moto";2680
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 9";"Moto";2341
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 9";"Moto";2628
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 9";"Moto";3943
"AUTOPISTA FERNÃO DIAS";"01/01/2020";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 9";"Moto";4194
